title,episode
妙廟美少女,第2集
堀與宮村 -piece-,第3集
BLEACH 死神 千年血戰篇-訣別譚-,第15集
謊言遊戲,第3集
雖然等級只有 1 級但固有技能是最強的,第2集
MIX 第二季 ~第二個夏天，邁向晴空~,第15集
卡片戰鬥!! 先導者 will+Dress 第三季,第2集
超人力霸王布雷薩,第2集
超人力霸王布雷薩,第11集
能幹貓今天也憂鬱,第12集
AI 電子基因,第11集
七魔劍支配天下,第12集
銀砂糖師與黑妖精～sugar apple fairy tale～,第24集
藍色管弦樂,第21集
聖者無雙～上班族的異世界生存之道～,第12集
神劍闖江湖 ―明治劍客浪漫譚―,第12集
咒術迴戰 第二季,第33集
成為悲劇元兇的最強異端，最後頭目女王為了人民犧牲奉獻,第12集
打工吧，魔王大人！第二季,第23集
間諜教室,第23集
不死少女的謀殺鬧劇,第12集
白聖女與黑牧師,第11集
獻祭公主與獸王,第23集
文豪野犬 第五季,第11集
勇者赫魯庫,第11集
我喜歡的女孩忘記戴眼鏡,第12集
滿懷美夢的少年是現實主義者,第12集
妖幻三重奏,第11集
物之古物奇譚,第24集
政宗君的復仇 R,第12集
LV1 魔王與獨居廢勇者,第12集
殭屍 100～在成為殭屍前要做的 100 件事～,第8集
黑暗集會,第11集
英雄教室,第11集
無職轉生～到了異世界就拿出真本事 第二季,第11集
幻日夜羽 -鏡中暉光-,第13集
其實，我是最強的？,第10集
魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～第二季,第11集
AYAKA  -綾島奇譚-,第12集
萊莎的鍊金工房 ～常闇女王與秘密藏身處～ The Animation,第12集
妙廟美少女,第11集
堀與宮村 -piece-,第12集
BLEACH 死神 千年血戰篇-訣別譚-,第23集
謊言遊戲,第12集
雖然等級只有 1 級但固有技能是最強的,第11集
愚蠢天使與惡魔共舞,第7集
公主殿下，「拷問」的時間到了,第7集
月光下的異世界之旅 第二季,第7集
愛犬訊號,第16集
HIGH CARD 至高之牌 2,第19集
休假的壞人先生,第7集
輪迴七次的惡役千金，在前敵國享受隨心所欲的新婚生活,第7集
狩火之王 第二季,第6集
隊長小翼 Season2 青少年篇,第20集
香格里拉・開拓異境～糞作獵手挑戰神作～,第19集
小不點,第17集
我內心的糟糕念頭 第二季,第19集
最強肉盾的迷宮攻略～擁有稀少技能體力 9999 的肉盾，被勇者隊伍辭退了～,第7集
青之驅魔師 島根啟明結社篇,第7集
我獨自升級,第7集
狩龍人拉格納,第18集
肌肉魔法使-MASHLE- 神覺者候補選拔試驗篇,第18集
指尖相觸，戀戀不捨,第7集
婚戒物語,第7集
烈焰先鋒 救國的橘衣消防員,第18集
卡片戰鬥!! 先導者 Divinez,第6集
碰之道,第7集
不死不運,第19集
小酒館 Basue,第6集
百千家的妖怪王子,第7集
治癒魔法的錯誤使用法,第7集
葬送的芙莉蓮,第23集
最弱魔物使開始了撿垃圾之旅。,第6集
非自願的不死冒險者,第7集
佐佐木與文鳥小嗶,第7集
她來自煩星 第二季,第29集
魔女與野獸,第6集
秒殺外掛太強了，異世界的傢伙們根本就不是對手。,第7集
月刊妄想科學,第6集
名湯「異世界溫泉」開拓記～30 多歲溫泉狂熱者，轉生到悠閒的溫泉天國～,第6集
勇氣爆發 BANG BRAVERN,第6集
魔都精兵的奴隸,第7集
金屬口紅,第6集
如果 30 歲還是處男，似乎就能成為魔法師,第6集
夢想成為魔法少女,第7集
戰國妖狐,第6集
月刊妄想科學,第7集
名湯「異世界溫泉」開拓記～30 多歲溫泉狂熱者，轉生到悠閒的溫泉天國～,第7集
勇氣爆發 BANG BRAVERN,第7集
魔都精兵的奴隸,第8集
如果 30 歲還是處男，似乎就能成為魔法師,第7集
金屬口紅,第7集
夢想成為魔法少女,第8集
戰國妖狐,第7集
歡迎來到實力至上主義的教室 第三季,第8集
女王的手術刀,第7集
弱角友崎同學 2nd STAGE,第8集
反派千金等級 99～我是隱藏頭目但不是魔王～,第7集
她來自煩星 第二季,第30集
秒殺外掛太強了，異世界的傢伙們根本就不是對手。,第8集
鬼滅之刃 柱訓練篇,第1集
蔚藍檔案 The Animation,第6集
無職轉生～到了異世界就拿出真本事 第二季,第18集
轉生貴族憑鑑定技能扭轉人生,第6集
老夫老妻重返青春,第6集
死神少爺與黑女僕 第三季,第6集
隊長小翼 Season2 青少年篇,第32集
夜櫻家大作戰,第6集
恰如細語般的戀歌,第5集
THE NEW GATE,第5集
夜晚的水母不會游泳,第6集
黑執事 寄宿學校篇,第5集
怪獸 8 號,第5集
龍族,第10集
龍族,第9集
單人房、日照一般、附天使。,第6集
我的英雄學院 第七季,第140集
蜻蛉高球,第6集
極速星舞,第6集
偶像大師 閃耀色彩,第6集
魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～第二季,第17集
魔法科高中的劣等生 第三季,第6集
關於我轉生變成史萊姆這檔事 第三季,第54集
星際莊的戀愛日記,第6集
Love Live！虹咲學園 學園偶像同好會 短篇動畫 第二季,第6集
她來自煩星 第二季,第40集
關於我們把節目全部丟給聲優那件事,第5集
怪人的沙拉碗,第6集
WIND BREAKER—防風少年—,第6集
身為魔王的我娶了奴隸精靈為妻，該如何表白我的愛？,第7集
搖曳露營△ 第三季,第6集
格鬥實況,第5集
王牌酒保 Glass of God,第6集
約會大作戰 DATE A LIVE V,第5集
為美好的世界獻上祝福！3,第5集
聲優廣播的幕前幕後,第5集
花野井同學與戀愛病,第5集
RINKAI！女子競輪,第5集
失憶投捕,第5集
轉生為第七王子，隨心所欲的魔法學習之路,第6集
我回來了、歡迎回家,第4集
我回來了、歡迎回家,第5集
神明渴求著遊戲。,第6集
神明渴求著遊戲。,第6集
神明渴求著遊戲。,第7集
轉生為第七王子，隨心所欲的魔法學習之路,第7集
我回來了、歡迎回家,第6集
月光下的異世界之旅 第二季,第19集
Re:Monster,第7集
從 Lv2 開始開外掛的前勇者候補過著悠哉異世界生活,第6集
